stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_area
6692,,Nidos g.,,55.57318,21.26165,https://www.stops.lt/klaipeda/index.html#stop/8942,,,2
6689,,Pervalkos g.,,55.58007,21.25143,https://www.stops.lt/klaipeda/index.html#stop/8945,,,2
6695,,Pervalkos g.,,55.57975,21.25174,https://www.stops.lt/klaipeda/index.html#stop/8946,,,2
6696,,Pienių st.,,55.58284,21.24725,https://www.stops.lt/klaipeda/index.html#stop/8947,,,2
6697,,Pienių st.,,55.58283,21.24708,https://www.stops.lt/klaipeda/index.html#stop/8948,,,2
6693,,Preilos g.,,55.57650,21.25680,https://www.stops.lt/klaipeda/index.html#stop/8943,,,2
6694,,Preilos g.,,55.57670,21.25632,https://www.stops.lt/klaipeda/index.html#stop/8944,,,2
6700,,Vaškių st.,,55.59589,21.24390,https://www.stops.lt/klaipeda/index.html#stop/8951,,,2
6688,,Žemuogių st.,,55.56780,21.27004,https://www.stops.lt/klaipeda/index.html#stop/8939,,,2
6690,,Žemuogių st.,,55.56812,21.26934,https://www.stops.lt/klaipeda/index.html#stop/8940,,,2
6686,,Karvaičių st.,,55.57007,21.27546,https://www.stops.lt/klaipeda/index.html#stop/8937,,,2
6687,,Karvaičių st.,,55.56960,21.27472,https://www.stops.lt/klaipeda/index.html#stop/8938,,,2
6682,,Dituvos darželio st.,,55.57770,21.27487,https://www.stops.lt/klaipeda/index.html#stop/8933,,,2
6683,,Dituvos darželio st.,,55.57733,21.27551,https://www.stops.lt/klaipeda/index.html#stop/8934,,,2
6684,,Gintaro st.,,55.57401,21.28041,https://www.stops.lt/klaipeda/index.html#stop/8935,,,2
6685,,Gintaro st.,,55.57458,21.27972,https://www.stops.lt/klaipeda/index.html#stop/8936,,,2
6680,,Gubojų st.,,55.58116,21.28273,https://www.stops.lt/klaipeda/index.html#stop/8931,,,2
6681,,Gubojų st.,,55.58087,21.28236,https://www.stops.lt/klaipeda/index.html#stop/8932,,,2
6670,,Dumpiai,,55.63708,21.24985,https://www.stops.lt/klaipeda/index.html#stop/8921,,,2
6671,,Dumpiai,,55.63870,21.24888,https://www.stops.lt/klaipeda/index.html#stop/8922,,,2
40,,Vingio st.,,55.67475,21.19423,https://www.stops.lt/klaipeda/index.html#stop/2208,,,1
41,,Vingio st.,,55.67576,21.19289,https://www.stops.lt/klaipeda/index.html#stop/2207,,,1
43,,Šilutės st.,,55.67673,21.18712,https://www.stops.lt/klaipeda/index.html#stop/2206,,,1
44,,Šilutės st.,,55.67654,21.18542,https://www.stops.lt/klaipeda/index.html#stop/2205,,,1
42,,Pasažo st.,,55.67281,21.19167,https://www.stops.lt/klaipeda/index.html#stop/2209,,,1
193,,Pasažo st.,,55.67330,21.19213,https://www.stops.lt/klaipeda/index.html#stop/2210,,,1
175,,2-osios Melnragės st.,,55.75793,21.08950,https://www.stops.lt/klaipeda/index.html#stop/0105,,,1
176,,2-osios Melnragės st.,,55.75936,21.08986,https://www.stops.lt/klaipeda/index.html#stop/0104,,,1
4209,,Giruliai,,55.77122,21.08378,https://www.stops.lt/klaipeda/index.html#stop/0110,,,1
4409,,Giruliai,,55.77061,21.08374,https://www.stops.lt/klaipeda/index.html#stop/0110a,,,1
174,,Kopų st.,,55.74288,21.09493,https://www.stops.lt/klaipeda/index.html#stop/0106,,,1
3819,,Kopų st.,,55.74137,21.09493,https://www.stops.lt/klaipeda/index.html#stop/0107,,,1
177,,Pajūrio st.,,55.76513,21.08737,https://www.stops.lt/klaipeda/index.html#stop/0103,,,1
178,,Pajūrio st.,,55.76569,21.08716,https://www.stops.lt/klaipeda/index.html#stop/0102,,,1
